주소,Latitude,Longitude,이름,설명,종류
현충로108번지,37.5073436,126.9653556,일반쓰레기,가로변,쓰레기통
현충로2길동작실버센터입구(ID:20-251),37.5115542,126.9604856,일반쓰레기,버스 정류장 옆,쓰레기통
현충로2길4번지 효사정 앞(ID:20-124),37.511568,126.961316,일반쓰레기,버스 정류장 옆,쓰레기통
현충로151번지(ID:20-130),37.50677865,126.9689342,일반쓰레기,버스 정류장 옆,쓰레기통
현충로111번지(ID:20-127),37.50762318,126.9660502,일반쓰레기,버스 정류장 옆,쓰레기통
서달로158번지,37.5073375,126.9623126,재활용,가로변,쓰레기통
서달로158번지,37.5073375,126.9623126,일반쓰레기,가로변,쓰레기통
동작대로경문고등학교(ID:22-031),37.4925398,126.9815837,일반쓰레기,중앙차로,쓰레기통
동작대로경문고등학교(ID:22-031),37.4925398,126.9815837,일반쓰레기,중앙차로,쓰레기통
동작대로경문고교 배나무골앞(ID:20-017),37.491372,126.982646,일반쓰레기,중앙차로,쓰레기통
동작대로171번지(경문고앞),37.4925398,126.9815837,일반쓰레기,가로변,쓰레기통
동작대로정금마을(ID:22-033),37.4937637,126.9812791,일반쓰레기,중앙차로,쓰레기통
동작대로정금마을 방배경찰서(ID:20-016),37.4940623,126.9826748,일반쓰레기,중앙차로,쓰레기통
동작대로235번지 깨마을(ID:20-015),37.4977712,126.9831903,일반쓰레기,버스 중앙차로,쓰레기통
동작대로235번지 깨마을(ID:20-015),37.4977712,126.9831903,일반쓰레기,버스 중앙차로,쓰레기통
동작대로239번지,37.4981825,126.9833841,일반쓰레기,가로변,쓰레기통
동작동국립현충원((ID:20-133),37.5007792,126.9784482,일반쓰레기,버스 정류장 옆,쓰레기통
동작동국립현충원((ID:20-134),37.5007792,126.9784482,재활용,버스 정류장 옆,쓰레기통
동작동국립현충원((ID:20-134),37.5007792,126.9784482,일반쓰레기,버스 정류장 옆,쓰레기통
동작대로남성시장(ID:20-018),37.4880894,126.9805176,재활용,버스중앙차로,쓰레기통
동작대로남성시장(ID:20-018),37.4880894,126.9805176,일반쓰레기,버스중앙차로,쓰레기통
동작대로남성시장(ID:22-029),37.4880894,126.9805176,재활용,버스중앙차로,쓰레기통
동작대로남성시장(ID:22-029),37.4880894,126.9805176,일반쓰레기,버스중앙차로,쓰레기통
동작대로101번지(다비치안경 앞),37.4856666,126.9816675,일반쓰레기,가로변,쓰레기통
동작대로101번지(다비치안경 앞),37.4856666,126.9816675,재활용,가로변,쓰레기통
동작대로  121번지(미샤 앞),37.4874578,126.9818585,일반쓰레기,가로변,쓰레기통
동작대로  121번지(미샤 앞),37.4874578,126.9818585,재활용,가로변,쓰레기통
사당로23길2(세븐일레븐 앞),37.4841916,126.977415,일반쓰레기,가로변,쓰레기통
사당로사당시장(ID:20-180),37.48313,126.974628,일반쓰레기,버스 정류장 옆,쓰레기통
사당로219번지(남성역 4번출구),37.4841663,126.9726777,재활용,지하철(7호선) 앞,쓰레기통
사당로9가길 55(ID:20-177),37.4869184,126.9683705,재활용,버스 정류장 옆,쓰레기통
사당로남성역(ID:20-178),37.484876,126.970673,일반쓰레기,버스 정류장 옆,쓰레기통
사당로300번지(ID: 20-184),37.4844319,126.9804651,일반쓰레기,버스 정류장 옆,쓰레기통
사당로300번지(ID: 20-184),37.4844319,126.9804651,재활용,버스 정류장 옆,쓰레기통
사당로254번지(ID:20-252),37.4831728,126.9759868,일반쓰레기,버스정류장 옆,쓰레기통
사당로138(사당지구대 앞),37.4889096,126.9657342,재활용,버스정류장 옆,쓰레기통
사당로138(사당지구대 앞),37.4889096,126.9657342,일반쓰레기,가로변,쓰레기통
동작대로19(한국전력 앞),37.4781083,126.9811097,재활용,지하철 옆,쓰레기통
동작대로19(한국전력 앞),37.4781083,126.9811097,일반쓰레기,지하철 옆,쓰레기통
동작대로27번지(IBK기업은행 앞),37.4789164,126.9813005,일반쓰레기,가로변,쓰레기통
동작대로67번지(더본병원 앞),37.4825174,126.9814716,일반쓰레기,가로변,쓰레기통
동작대로방배노인복지관 (ID: 20-020),37.4807676,126.9827215,일반쓰레기,버스 중앙차로,쓰레기통
동작대로이수역(ID:20-027),37.486491,126.981876,일반쓰레기,버스 정류장 옆,쓰레기통
동작대로사당동우체국앞(ID:20-019),37.483148,126.981899,일반쓰레기,가로변,쓰레기통
남부순환로천수공원앞(사당역7번출구),37.476559,126.981633,일반쓰레기,가로변,쓰레기통
남부순환로천수공원앞(사당역7번출구),37.476559,126.981633,재활용,가로변,쓰레기통
남부순환로2019번지,37.47624974,126.9729965,일반쓰레기,가로변,쓰레기통
남부순환로2069번지,37.4769346,126.9787779,일반쓰레기,가로변,쓰레기통
흑석로106-5 번지,37.5078884,126.9614617,일반쓰레기,가로변,쓰레기통
흑석로106-5 번지,37.5078884,126.9614617,재활용,가로변,쓰레기통
흑석로 108(신한은행),37.5080446,126.961344,일반쓰레기,버스정류장 옆,쓰레기통
노량진로114-5(올리브 영),37.5129817,126.9386255,일반쓰레기,가로변,쓰레기통
노량진로114-5(올리브 영),37.5129817,126.9386255,재활용,가로변,쓰레기통
노량진로114-5(올리브 영),37.5129817,126.9386255,재활용,가로변,쓰레기통
노량진로114-5(올리브 영),37.5129817,126.9386255,재활용,가로변,쓰레기통
만양로만양로3길20 신동아리버파크,37.50669,126.947647,일반쓰레기,가로변,쓰레기통
노량진로노들역앞 정류장(ID:20-247),37.513416,126.952213,일반쓰레기,버스정류장 옆,쓰레기통
만양로강남교회 앞 정류장(ID:20-819),37.510402,126.94503,일반쓰레기,버스정류장 옆,쓰레기통
노량진로노량진역앞 7번출구,37.514082,126.941687,일반쓰레기,지하철역 앞,쓰레기통
노량진로노량진로 223(ID:20-121),37.5129679,126.9507863,재활용,가로변,쓰레기통
노량진로노량진로 223(ID:20-121),37.5129679,126.9507863,일반쓰레기,가로변,쓰레기통
사당로사당로 285(이디야 커피숍 앞),37.4846685,126.9791775,일반쓰레기,가로변,쓰레기통
사당로사당로 285(이디야 커피숍 앞),37.4846685,126.9791775,재활용,가로변,쓰레기통
남부순환로태평백화점 앞,37.4868502,126.9816659,일반쓰레기,가로변,쓰레기통
동작대로태평백화점 앞,37.4868502,126.9816659,재활용,가로변,쓰레기통
동작대로태평백화점 앞,37.4868502,126.9816659,재활용,가로변,쓰레기통
동작대로태평백화점 앞,37.4868502,126.9816659,재활용,가로변,쓰레기통
남부순환로남부순환로 2057(다이소 앞),37.47693443,126.9773597,일반쓰레기,가로변,쓰레기통
남부순환로남부순환로 2057(다이소 앞),37.47693443,126.9773597,재활용,가로변,쓰레기통
사당로총신대(ID:20-174),37.4886232,126.9668169,일반쓰레기,버스 정류장 옆,쓰레기통
사당로총신대(ID:20-174),37.4886232,126.9668169,재활용,버스 정류장 옆,쓰레기통
사당로172번지(새마을금고 앞),37.4865012,126.9678872,재활용,가로변,쓰레기통
사당로172번지(새마을금고 앞),37.4865012,126.9678872,일반쓰레기,가로변,쓰레기통
사당로남성초등학교(ID:20-496),37.4889312,126.9691198,일반쓰레기,버스정류장 옆,쓰레기통
사당로194(ID:20-600),37.485095,126.9696156,재활용,버스정류장 옆,쓰레기통
사당로194(ID:20-600),37.485095,126.9696156,일반쓰레기,버스정류장 옆,쓰레기통
대림로대림로 14(ID:20-208),37.48740501,126.9116541,일반쓰레기,버스정류장 옆,쓰레기통
대림로대림로 14(ID:20-208),37.48740501,126.9116541,재활용,버스정류장 옆,쓰레기통
등용로등용로 96(ID:20-106),37.5097641,126.932322,일반쓰레기,버스정류장 옆,쓰레기통
등용로등용로96(ID:20-106),37.5097641,126.932322,재활용,가로변,쓰레기통
시흥대로658(올리브 영 앞),37.4418356,126.7915761,일반쓰레기,가로변,쓰레기통
여의대방로126,37.498015,126.920664,일반쓰레기,가로변,쓰레기통
양녕로177번지(ID:20-892),37.497315,126.9429239,일반쓰레기,마을버스 정류장 옆,쓰레기통
상도로53길 70번지(세븐일레븐 옆),37.5021285,126.9543668,재활용,가로변,쓰레기통
상도로상도시장(ID:20-161),37.5017644,126.9484187,재활용,가로변,쓰레기통
상도로321번지(동진빌딩 앞),37.4994748,126.9512254,재활용,가로변,쓰레기통
상도로상도로 357(ID:20-166),37.4969421,126.9535391,재활용,버스정류장 옆,쓰레기통
상도로상도로 357(ID:20-166),37.4969421,126.9535391,일반쓰레기,버스정류장 옆,쓰레기통
사당로숭실대정문앞(ID:20-170),37.495177,126.957042,재활용,버스정류장 옆,쓰레기통
상도로숭실대입구역(ID:20-166),37.496374,126.953504,일반쓰레기,가로변,쓰레기통
상도로중앙하이츠빌 아파트(ID:20-162),37.4991652,126.9498321,일반쓰레기,버스정류장 옆,쓰레기통
상도로상도시장(ID:20-160),37.5017644,126.9484187,일반쓰레기,버스정류장 옆,쓰레기통
장승배기로16-1번지,37.5000317,126.9428907,일반쓰레기,가로변,쓰레기통
노량진로 147(노량진역 8번출구 앞),37.5138768,126.9422137,재활용,가로변,쓰레기통
